=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align/3/metadata.json
Test:  CI( 0 , 1 | () ) = 0.4817984637264363
Test:  CI( 0 , 2 | () ) = 0.10513750218748541
Test:  CI( 1 , 2 | () ) = 0.5885619744012596
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 1.9300397613442044e-07
Test:  CI( 2 , 3 | () ) = 0.8896527305716848
Test:  CI( 0 , 4 | () ) = 2.1020962748252714e-11
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.8541646725409611
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.00030208425927669147
Test:  CI( 2 , 5 | () ) = 0.4505663531478348
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 9.148919837276281e-07
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.8036409536418634
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 7 | () ) = 1.2709462543059047e-05
Test:  CI( 1 , 7 | () ) = 2.886579864025407e-15
Test:  CI( 2 , 7 | () ) = 2.3314683517128287e-14
Test:  CI( 3 , 7 | () ) = 0.0
Test:  CI( 4 , 7 | () ) = 0.0
Test:  CI( 5 , 7 | () ) = 2.220446049250313e-16
Test:  CI( 6 , 7 | () ) = 0.0
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 7.880363028789361e-13
Test:  CI( 0 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 4 | (3,) ) = 0.0008720995382409669
Test:  CI( 1 , 4 | (0,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (0,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 4.960838406731227e-10
Test:  CI( 1 , 5 | (3,) ) = 4.450109614140274e-09
Test:  CI( 1 , 5 | (4,) ) = 1.1498604224335907e-07
Test:  CI( 3 , 5 | (0,) ) = 0.0
Test:  CI( 3 , 5 | (1,) ) = 0.0
Test:  CI( 3 , 5 | (4,) ) = 0.0
Test:  CI( 4 , 5 | (0,) ) = 0.0
