=== [Causal Discovery] Fold 5 (5/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/metadata.json
CI(0, 1 | ()) p=0.8756 -> indep=True
CI(0, 2 | ()) p=0.1242 -> indep=True
CI(1, 2 | ()) p=0.4965 -> indep=True
CI(0, 3 | ()) p=0.6265 -> indep=True
CI(1, 3 | ()) p=0.4721 -> indep=True
CI(2, 3 | ()) p=0.1975 -> indep=True
CI(0, 4 | ()) p=0.2409 -> indep=True
CI(1, 4 | ()) p=0.1659 -> indep=True
CI(2, 4 | ()) p=0.9367 -> indep=True
CI(3, 4 | ()) p=0.9496 -> indep=True
CI(0, 5 | ()) p=0.01135 -> indep=True
CI(1, 5 | ()) p=0.004387 -> indep=False
CI(2, 5 | ()) p=0.1473 -> indep=True
CI(3, 5 | ()) p=0.5249 -> indep=True
CI(4, 5 | ()) p=0.8366 -> indep=True
CI(0, 6 | ()) p=0.5644 -> indep=True
CI(1, 6 | ()) p=0.04215 -> indep=True
CI(2, 6 | ()) p=0.2121 -> indep=True
CI(3, 6 | ()) p=0.9266 -> indep=True
CI(4, 6 | ()) p=8.648e-05 -> indep=False
CI(5, 6 | ()) p=0.001548 -> indep=False
CI(0, 7 | ()) p=0.1752 -> indep=True
CI(1, 7 | ()) p=0.7404 -> indep=True
CI(2, 7 | ()) p=0.01382 -> indep=True
CI(3, 7 | ()) p=1.482e-06 -> indep=False
CI(4, 7 | ()) p=0.2747 -> indep=True
CI(5, 7 | ()) p=0.3335 -> indep=True
CI(6, 7 | ()) p=0.00411 -> indep=False
CI(0, 8 | ()) p=0.7358 -> indep=True
CI(1, 8 | ()) p=0.3429 -> indep=True
CI(2, 8 | ()) p=0.3346 -> indep=True
CI(3, 8 | ()) p=0.6616 -> indep=True
CI(4, 8 | ()) p=0.7189 -> indep=True
CI(5, 8 | ()) p=0.3528 -> indep=True
CI(6, 8 | ()) p=0.2792 -> indep=True
CI(7, 8 | ()) p=6.891e-05 -> indep=False
CI(0, 9 | ()) p=0 -> indep=False
CI(1, 9 | ()) p=0.06882 -> indep=True
CI(2, 9 | ()) p=0.1825 -> indep=True
CI(3, 9 | ()) p=0.3159 -> indep=True
CI(4, 9 | ()) p=0.4793 -> indep=True
CI(5, 9 | ()) p=0.01531 -> indep=True
CI(6, 9 | ()) p=0.0002409 -> indep=False
CI(7, 9 | ()) p=0.009776 -> indep=False
CI(8, 9 | ()) p=0.03373 -> indep=True
CI(0, 10 | ()) p=0.1026 -> indep=True
CI(1, 10 | ()) p=0.1162 -> indep=True
CI(2, 10 | ()) p=0 -> indep=False
CI(3, 10 | ()) p=0.2796 -> indep=True
CI(4, 10 | ()) p=0.534 -> indep=True
CI(5, 10 | ()) p=0.001426 -> indep=False
CI(6, 10 | ()) p=0.07738 -> indep=True
CI(7, 10 | ()) p=0.0002168 -> indep=False
CI(8, 10 | ()) p=0.001201 -> indep=False
CI(9, 10 | ()) p=0.02188 -> indep=True
CI(0, 11 | ()) p=0.527 -> indep=True
CI(1, 11 | ()) p=0.2903 -> indep=True
CI(2, 11 | ()) p=0.5876 -> indep=True
CI(3, 11 | ()) p=0.2261 -> indep=True
CI(4, 11 | ()) p=0 -> indep=False
CI(5, 11 | ()) p=0.8138 -> indep=True
CI(6, 11 | ()) p=0.007829 -> indep=False
CI(7, 11 | ()) p=0.1012 -> indep=True
CI(8, 11 | ()) p=0 -> indep=False
CI(9, 11 | ()) p=0.7602 -> indep=True
CI(10, 11 | ()) p=0.04886 -> indep=True
CI(4, 6 | (5,)) p=1.601e-05 -> indep=False
CI(5, 6 | (4,)) p=1.024e-05 -> indep=False
CI(3, 7 | (6,)) p=1.153e-07 -> indep=False
CI(6, 7 | (3,)) p=7.62e-05 -> indep=False
CI(0, 9 | (6,)) p=0 -> indep=False
CI(0, 9 | (7,)) p=0 -> indep=False
CI(6, 9 | (0,)) p=7.98e-09 -> indep=False
CI(6, 9 | (7,)) p=7.459e-05 -> indep=False
CI(7, 9 | (0,)) p=0.0313 -> indep=True
CI(2, 10 | (8,)) p=0 -> indep=False
CI(2, 10 | (5,)) p=0 -> indep=False
CI(2, 10 | (7,)) p=0 -> indep=False
CI(5, 10 | (8,)) p=3.886e-06 -> indep=False
CI(5, 10 | (2,)) p=0.0001385 -> indep=False
CI(5, 10 | (7,)) p=0.001951 -> indep=False
CI(7, 10 | (8,)) p=7.493e-05 -> indep=False
CI(7, 10 | (2,)) p=0.0006812 -> indep=False
CI(7, 10 | (5,)) p=9.366e-05 -> indep=False
CI(8, 10 | (2,)) p=9.134e-05 -> indep=False
CI(8, 10 | (5,)) p=0.0007142 -> indep=False
CI(8, 10 | (7,)) p=0.05436 -> indep=True
CI(4, 11 | (8,)) p=0 -> indep=False
CI(4, 11 | (6,)) p=1.925e-11 -> indep=False
CI(6, 11 | (8,)) p=0.02771 -> indep=True
CI(8, 11 | (4,)) p=0 -> indep=False
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/learned_graph_adj.npy
CI(0, 1 | ()) p=0.1072 -> indep=True
CI(0, 2 | ()) p=0.007573 -> indep=False
CI(1, 2 | ()) p=0.8521 -> indep=True
CI(0, 3 | ()) p=0.3557 -> indep=True
CI(1, 3 | ()) p=0.2105 -> indep=True
CI(2, 3 | ()) p=0.01479 -> indep=True
CI(0, 4 | ()) p=0.8814 -> indep=True
CI(1, 4 | ()) p=0.09846 -> indep=True
CI(2, 4 | ()) p=0.9365 -> indep=True
CI(3, 4 | ()) p=0.3709 -> indep=True
CI(0, 5 | ()) p=2.041e-06 -> indep=False
CI(1, 5 | ()) p=0.2009 -> indep=True
CI(2, 5 | ()) p=0.3542 -> indep=True
CI(3, 5 | ()) p=0.1797 -> indep=True
CI(4, 5 | ()) p=0.5672 -> indep=True
CI(0, 6 | ()) p=0.1691 -> indep=True
CI(1, 6 | ()) p=1.057e-05 -> indep=False
CI(2, 6 | ()) p=0.4572 -> indep=True
CI(3, 6 | ()) p=0.3814 -> indep=True
CI(4, 6 | ()) p=0.2646 -> indep=True
CI(5, 6 | ()) p=5.382e-05 -> indep=False
CI(0, 7 | ()) p=0.167 -> indep=True
CI(1, 7 | ()) p=0.3773 -> indep=True
CI(2, 7 | ()) p=0.000412 -> indep=False
CI(3, 7 | ()) p=0.0006303 -> indep=False
CI(4, 7 | ()) p=0.1659 -> indep=True
CI(5, 7 | ()) p=0.4115 -> indep=True
CI(6, 7 | ()) p=2.267e-07 -> indep=False
CI(0, 8 | ()) p=0.7415 -> indep=True
CI(1, 8 | ()) p=0.4022 -> indep=True
CI(2, 8 | ()) p=0.1103 -> indep=True
CI(3, 8 | ()) p=0.54 -> indep=True
CI(4, 8 | ()) p=0.3964 -> indep=True
CI(5, 8 | ()) p=0.7602 -> indep=True
CI(6, 8 | ()) p=0.1858 -> indep=True
CI(7, 8 | ()) p=2.8e-09 -> indep=False
CI(0, 9 | ()) p=0.05424 -> indep=True
CI(1, 9 | ()) p=0.5369 -> indep=True
CI(2, 9 | ()) p=0.5632 -> indep=True
CI(3, 9 | ()) p=0.3018 -> indep=True
CI(4, 9 | ()) p=0.1385 -> indep=True
CI(5, 9 | ()) p=0.2062 -> indep=True
CI(6, 9 | ()) p=0.2492 -> indep=True
CI(7, 9 | ()) p=0.7265 -> indep=True
CI(8, 9 | ()) p=0.6864 -> indep=True
CI(0, 10 | ()) p=0.4011 -> indep=True
CI(1, 10 | ()) p=0.6225 -> indep=True
CI(2, 10 | ()) p=0.0001073 -> indep=False
CI(3, 10 | ()) p=0.8077 -> indep=True
