=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/metadata.json
CI(0, 1 | ()) p=0.4848 -> indep=True
CI(0, 2 | ()) p=0.7566 -> indep=True
CI(1, 2 | ()) p=0.7508 -> indep=True
CI(0, 3 | ()) p=0.05349 -> indep=True
CI(1, 3 | ()) p=0.207 -> indep=True
CI(2, 3 | ()) p=0.8397 -> indep=True
CI(0, 4 | ()) p=0.4908 -> indep=True
CI(1, 4 | ()) p=0.07106 -> indep=True
CI(2, 4 | ()) p=0.1111 -> indep=True
CI(3, 4 | ()) p=0.6072 -> indep=True
CI(0, 5 | ()) p=0.03768 -> indep=True
CI(1, 5 | ()) p=0.2573 -> indep=True
CI(2, 5 | ()) p=0.784 -> indep=True
CI(3, 5 | ()) p=0.01303 -> indep=True
CI(4, 5 | ()) p=0.5166 -> indep=True
CI(0, 6 | ()) p=0 -> indep=False
CI(1, 6 | ()) p=5.161e-05 -> indep=False
CI(2, 6 | ()) p=0.3047 -> indep=True
CI(3, 6 | ()) p=0.009233 -> indep=False
CI(4, 6 | ()) p=0.04677 -> indep=True
CI(5, 6 | ()) p=0.6795 -> indep=True
CI(0, 7 | ()) p=0.03128 -> indep=True
CI(1, 7 | ()) p=0.0001031 -> indep=False
CI(2, 7 | ()) p=0.2922 -> indep=True
CI(3, 7 | ()) p=0.2558 -> indep=True
CI(4, 7 | ()) p=0.4155 -> indep=True
CI(5, 7 | ()) p=0.03088 -> indep=True
CI(6, 7 | ()) p=4.854e-09 -> indep=False
CI(0, 8 | ()) p=0.05515 -> indep=True
CI(1, 8 | ()) p=0.01443 -> indep=True
CI(2, 8 | ()) p=0.6032 -> indep=True
CI(3, 8 | ()) p=0.2767 -> indep=True
CI(4, 8 | ()) p=0.1894 -> indep=True
CI(5, 8 | ()) p=0.6825 -> indep=True
CI(6, 8 | ()) p=0.153 -> indep=True
CI(7, 8 | ()) p=3.892e-13 -> indep=False
CI(0, 9 | ()) p=0.8089 -> indep=True
CI(1, 9 | ()) p=0.1244 -> indep=True
CI(2, 9 | ()) p=0.3148 -> indep=True
CI(3, 9 | ()) p=1.101e-06 -> indep=False
CI(4, 9 | ()) p=0.205 -> indep=True
CI(5, 9 | ()) p=0.4612 -> indep=True
CI(6, 9 | ()) p=0.7612 -> indep=True
CI(7, 9 | ()) p=0.1339 -> indep=True
CI(8, 9 | ()) p=0.0007184 -> indep=False
CI(0, 10 | ()) p=0.6933 -> indep=True
CI(1, 10 | ()) p=0.3385 -> indep=True
CI(2, 10 | ()) p=0.8022 -> indep=True
CI(3, 10 | ()) p=0.0379 -> indep=True
CI(4, 10 | ()) p=0.3238 -> indep=True
CI(5, 10 | ()) p=0.001197 -> indep=False
CI(6, 10 | ()) p=0.309 -> indep=True
CI(7, 10 | ()) p=0.5362 -> indep=True
CI(8, 10 | ()) p=0.03765 -> indep=True
CI(9, 10 | ()) p=6.673e-08 -> indep=False
CI(0, 11 | ()) p=0 -> indep=False
