=== [Causal Discovery] Fold 5 (5/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/5/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/5/metadata.json
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 0 , 2 | () ) = 0.0
Test:  CI( 1 , 2 | () ) = 0.0
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 0.0
Test:  CI( 2 , 3 | () ) = 0.0
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.0
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.0
Test:  CI( 2 , 5 | () ) = 0.0
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 0.0
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.0
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 2 | (1,) ) = 2.2648549702353193e-14
Test:  CI( 1 , 2 | (0,) ) = 0.8344084224097201
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 0 , 3 | (2,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 0.2894190539842545
Test:  CI( 2 , 3 | (0,) ) = 0.8972991153943568
Test:  CI( 0 , 4 | (1,) ) = 0.15319456378238372
Test:  CI( 1 , 4 | (2,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 2 , 4 | (1,) ) = 0.0
Test:  CI( 2 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.29087056326159244
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (2,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 0.0
Test:  CI( 1 , 5 | (2,) ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
