=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/metadata.json
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 0 , 2 | () ) = 0.0
Test:  CI( 1 , 2 | () ) = 0.0
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 0.0
Test:  CI( 2 , 3 | () ) = 0.0
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.0
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.0
Test:  CI( 2 , 5 | () ) = 0.0
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 0.0
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.0
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 2 | (1,) ) = 1.325720453415613e-07
Test:  CI( 1 , 2 | (0,) ) = 0.026034269463937942
Test:  CI( 0 , 3 | (1,) ) = 2.220446049250313e-16
Test:  CI( 0 , 3 | (2,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 0.9297482517114699
Test:  CI( 2 , 3 | (0,) ) = 0.9191918088366486
Test:  CI( 0 , 4 | (1,) ) = 0.4981778353345563
Test:  CI( 1 , 4 | (2,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 2 , 4 | (1,) ) = 0.0
Test:  CI( 2 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.9771433947434485
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (2,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 0.0
Test:  CI( 1 , 5 | (2,) ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
